News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@CBS,Sat Mar 24 22:46:43 +0000 2018,-0.34,0.115,0.7,0.185,17,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
@CBS,Sat Mar 24 22:25:03 +0000 2018,0.7003,0.209,0.791,0.0,18,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
@CBS,Sat Mar 24 22:21:37 +0000 2018,0.0,0.0,1.0,0.0,19,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
@CBS,Sat Mar 24 22:21:34 +0000 2018,0.0,0.0,1.0,0.0,20,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
@CBS,Sat Mar 24 22:21:26 +0000 2018,0.7184,0.333,0.667,0.0,21,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
@CBS,Sat Mar 24 22:21:23 +0000 2018,0.9451,0.42,0.58,0.0,22,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
@CBS,Sat Mar 24 20:00:02 +0000 2018,0.0,0.0,1.0,0.0,23,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x"
@CBS,Fri Mar 23 22:33:52 +0000 2018,0.6996,0.194,0.806,0.0,24,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW
@CBS,Fri Mar 23 22:33:04 +0000 2018,0.4939,0.314,0.686,0.0,25,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU
@CBS,Fri Mar 23 22:32:48 +0000 2018,0.8997,0.355,0.645,0.0,26,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…"
@CBS,Thu Mar 22 22:10:29 +0000 2018,0.0,0.0,1.0,0.0,27,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC
@CBS,Thu Mar 22 20:52:02 +0000 2018,0.7081,0.311,0.623,0.066,28,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU
@CBS,Thu Mar 22 00:23:38 +0000 2018,0.636,0.198,0.802,0.0,29,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf
@CBS,Wed Mar 21 18:00:01 +0000 2018,0.0,0.0,1.0,0.0,30,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8
@CBS,Tue Mar 20 20:00:01 +0000 2018,0.5106,0.142,0.858,0.0,31,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC
@CBS,Tue Mar 20 17:58:43 +0000 2018,0.0,0.0,1.0,0.0,32,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…
